Peak_Label,Weighted_Mean_Theta,Error_Weighted_Mean_Theta
 27.86,13.94782571275561,0.002676993911929906
 32.20,16.09887735203831,0.0017788471333516924
 45.94,22.96007979973385,0.0004317642128430239
 54.31,27.158949368454007,0.018415410825051475
 56.91,28.462319022982992,0.0010791245370569157
 66.60,33.32863201840741,0.00483304905483013
 73.40,36.726579449037395,0.01947885901613526
 75.66,37.85733083848233,0.0036670387009771154
 84.33,42.18943617212569,0.003023085523026396
 90.69,45.350428976645695,0.011650372796052492
 101.42,50.743341218078484,0.005194730801482717
 108.00,54.09172237391381,0.013184984506761935
 110.30,55.21297260138479,0.0023089001454578706
 110.64,55.2129543155461,0.002381959049864673
 119.66,59.91117334308695,0.0031103391162066022
 120.11,59.82812480071355,0.003226081049872687
