"Peak_Label","Weighted_Mean_Theta","Error_Weighted_Mean_Theta"
"27.86","13.9478257127556","0.00267699391192991"
"32.2","16.0988773520383","0.00177884713335169"
"45.94","22.9600797997339","0.000431764212843024"
"54.31","27.158949368454","0.0184154108250515"
"56.91","28.462319022983","0.00107912453705692"
"66.6","33.3286320184074","0.00483304905483013"
"73.4","36.7265794490374","0.0194788590161353"
"75.66","37.8573308384823","0.00366703870097712"
"84.33","42.1894361721257","0.0030230855230264"
"90.69","45.3504289766457","0.0116503727960525"
"101.42","50.7433412180785","0.00519473080148272"
108,"54.0917223739138","0.0131849845067619"
"110.3","55.2129726013848","0.00230890014545787"
"119.66","59.911173343087","0.0031103391162066"
